distance_regime,is_weekend,pickup_hour,trips,median_fixed_fees,median_tolls,median_fixed_fee_share,p90_toll_share
short,false,11,121260,0.8,0.0,0.145,0.0
short,false,12,131537,0.8,0.0,0.145,0.0
short,false,13,126578,0.8,0.0,0.145,0.0
short,false,14,132356,0.8,0.0,0.145,0.0
short,false,15,127852,0.8,0.0,0.145,0.0
short,false,16,107936,1.8,0.0,0.327,0.0
short,false,17,126618,1.8,0.0,0.327,0.0
short,false,18,154751,1.8,0.0,0.327,0.0
short,false,19,153038,1.8,0.0,0.327,0.0
short,false,20,125626,1.3,0.0,0.26,0.0
short,false,21,110387,1.3,0.0,0.26,0.0
short,false,22,97347,1.3,0.0,0.26,0.0
short,false,23,76801,1.3,0.0,0.26,0.0
short,true,0,46725,1.3,0.0,0.26,0.0
short,true,1,37993,1.3,0.0,0.26,0.0
short,true,2,29584,1.3,0.0,0.26,0.0
short,true,3,21221,1.3,0.0,0.26,0.0
short,true,4,12447,1.3,0.0,0.26,0.0
short,true,5,5756,1.3,0.0,0.26,0.0
short,true,6,7645,0.8,0.0,0.16,0.0
short,true,7,12870,0.8,0.0,0.16,0.0
short,true,8,22852,0.8,0.0,0.16,0.0
short,true,9,36118,0.8,0.0,0.16,0.0
short,true,10,45949,0.8,0.0,0.16,0.0
short,true,11,53472,0.8,0.0,0.16,0.0
short,true,12,58870,0.8,0.0,0.16,0.0
short,true,13,58816,0.8,0.0,0.145,0.0
short,true,14,55892,0.8,0.0,0.145,0.0
short,true,15,54770,0.8,0.0,0.145,0.0
short,true,16,50057,0.8,0.0,0.145,0.0
short,true,17,52271,0.8,0.0,0.145,0.0
short,true,18,59632,0.8,0.0,0.145,0.0
short,true,19,59421,0.8,0.0,0.145,0.0
short,true,20,48740,1.3,0.0,0.25,0.0
short,true,21,43793,1.3,0.0,0.26,0.0
short,true,22,42263,1.3,0.0,0.26,0.0
short,true,23,38078,1.3,0.0,0.26,0.0
