y_true,y_pred_model0,y_pred_model1,trip_distance,pickup_hour,is_weekend,abs_err_model0,abs_err_model1
14.0,10.080344786943115,14.231985846723365,2.07,8,False,3.9196552130568847,0.23198584672336509
12.5,12.086237595044889,12.53163099890305,2.9,22,False,0.4137624049551114,0.03163099890305077
9.0,10.51535768508567,9.217963947254157,2.25,17,False,1.5153576850856698,0.21796394725415702
6.5,7.736108613619357,6.50629531926407,1.1,14,True,1.2361086136193569,0.0062953192640700095
11.0,12.811259091949145,10.932140582029337,3.2,1,False,1.811259091949145,0.06785941797066286
33.0,29.003405856144184,31.559387045165906,9.9,21,True,3.996594143855816,1.4406129548340942
13.5,11.482053014291342,13.163159973228954,2.65,11,True,2.017946985708658,0.3368400267710463
6.5,7.011087116715101,6.491614493145743,0.8,10,False,0.5110871167151014,0.008385506854256874
29.0,29.97010118534986,29.10377967914655,10.3,10,True,0.9701011853498613,0.10377967914655173
10.0,9.766168804951272,10.301047118226192,1.94,22,True,0.23383119504872774,0.301047118226192
5.5,7.25276094901652,5.418933466752546,0.9,19,False,1.75276094901652,0.08106653324745405
12.0,9.379490673269004,11.631972598888037,1.78,17,False,2.6205093267309962,0.36802740111196286
15.5,14.454641151598791,14.729878668186382,3.88,14,False,1.045358848401209,0.770121331813618
11.5,12.279576660886026,11.953659843914254,2.98,18,False,0.7795766608860255,0.45365984391425407
7.5,8.461130110523612,7.294522581391774,1.4,20,True,0.9611301105236123,0.20547741860822644
6.5,6.0443917875094275,6.495451028977861,0.4,18,True,0.4556082124905725,0.004548971022138915
22.5,23.106564347989575,23.000533107415464,7.46,14,False,0.6065643479895755,0.500533107415464
13.0,13.415443672702692,13.25501575083413,3.45,19,True,0.41544367270269156,0.2550157508341293
5.0,6.8660828173342505,4.982250419107039,0.74,19,True,1.8660828173342505,0.017749580892960637
7.5,7.494434781317938,7.5942495978737465,1.0,17,False,0.005565218682061612,0.09424959787374654
52.5,42.778814297325034,51.72650624362741,15.6,20,False,9.721185702674966,0.7734937563725879
8.0,8.775306092515457,7.923355787798804,1.53,20,False,0.7753060925154571,0.0766442122011961
52.0,48.31314505702752,52.0,17.89,21,False,3.686854942972481,0.0
5.5,7.301095715476803,5.070793053351876,0.92,7,False,1.8010957154768032,0.4292069466481241
31.0,29.2450796884456,30.687606834503214,10.0,11,False,1.7549203115544003,0.3123931654967862
6.5,7.977782445920775,6.389569585192074,1.2,22,True,1.4777824459207753,0.11043041480792581
7.0,7.639439080698789,6.712028548657225,1.06,14,True,0.6394390806987893,0.28797145134277535
10.5,8.702803942825032,10.547016052370829,1.5,13,False,1.7971960571749683,0.04701605237082873
27.0,19.698963312539572,26.56272767525089,6.05,9,False,7.301036687460428,0.4372723247491095
14.5,13.294606756551982,14.208280602986196,3.4,18,False,1.2053932434480181,0.29171939701380367
9.5,8.920310391896308,9.432779737462402,1.59,10,False,0.579689608103692,0.06722026253759772
9.0,8.751138709285314,9.416198383928164,1.52,11,False,0.24886129071468588,0.41619838392816355
4.5,6.0443917875094275,4.001937049062049,0.4,11,False,1.5443917875094275,0.4980629509379506
25.0,16.629705642311556,22.373886098926445,4.78,0,True,8.370294357688444,2.6261139010735555
12.0,9.427825439729286,12.238456434904961,1.8,20,True,2.572174560270714,0.23845643490496116
5.0,6.5277394521122645,5.015436820124321,0.6,20,True,1.5277394521122645,0.015436820124320683
5.5,7.107756649635668,5.479782735238618,0.84,11,False,1.6077566496356681,0.020217264761382303
13.5,12.569585259647727,13.904400029137522,3.1,9,False,0.9304147403522727,0.4044000291375216
14.5,15.566340780185316,14.564025913381855,4.34,20,True,1.0663407801853158,0.0640259133818546
7.0,6.769413284413683,6.962390515734267,0.7,15,False,0.23058671558631705,0.03760948426573307
15.5,17.161388073374678,15.95966331052419,5.0,19,False,1.6613880733746775,0.4596633105241903
5.5,7.011087116715101,5.200452839332579,0.8,4,False,1.5110871167151014,0.29954716066742115
9.5,10.587859834776093,9.42992687535848,2.28,10,True,1.0878598347760935,0.07007312464151916
6.5,7.494434781317938,6.314622342608371,1.0,13,False,0.9944347813179384,0.18537765739162904
4.5,6.769413284413683,4.9415903106289125,0.7,17,False,2.269413284413683,0.4415903106289125
16.5,15.808014612486735,17.20884734927741,4.44,12,True,0.6919853875132649,0.7088473492774092
10.0,11.022872732918648,9.984721689020045,2.46,13,True,1.022872732918648,0.015278310979955023
4.5,6.286065619810846,4.524523526922423,0.5,15,False,1.786065619810846,0.024523526922423322
13.0,11.04704011614879,13.32839904091007,2.47,19,False,1.9529598838512108,0.3283990409100692
15.5,12.88376124163957,15.443556565714552,3.23,22,False,2.6162387583604296,0.05644343428544829
6.0,7.736108613619357,5.9846738083790125,1.1,23,False,1.7361086136193569,0.015326191620987473
9.0,9.45199282295943,9.325968115293287,1.81,18,False,0.4519928229594292,0.3259681152932874
6.5,7.011087116715101,6.332039093517421,0.8,12,True,0.5110871167151014,0.16796090648257866
24.5,21.704856120641345,24.934091378822412,6.88,16,False,2.7951438793586547,0.4340913788224121
7.0,7.977782445920775,7.549748595047458,1.2,20,True,0.9777824459207753,0.5497485950474577
9.5,9.306988523578577,9.43605659986513,1.75,10,False,0.19301147642142347,0.06394340013486932
4.0,6.5277394521122645,4.374588933737831,0.6,12,False,2.5277394521122645,0.3745889337378312
6.0,7.736108613619357,6.394878607243722,1.1,14,False,1.7361086136193569,0.39487860724372226
7.5,7.977782445920775,7.021125147728088,1.2,20,True,0.47778244592077534,0.47887485227191195
20.0,13.65711750500411,18.804655107351792,3.55,2,True,6.342882494995891,1.1953448926482082
10.0,8.219456278222193,10.138056742567287,1.3,12,False,1.780543721777807,0.1380567425672865
10.5,7.591104314238506,10.494268968314534,1.04,12,False,2.908895685761494,0.005731031685465737
4.0,6.189396086890278,3.8835989468048293,0.46,2,False,2.1893960868902784,0.11640105319517069
7.5,7.711941230389215,7.347896883925325,1.09,15,True,0.21194123038921475,0.15210311607467464
13.0,7.977782445920775,12.882852293037196,1.2,17,False,5.022217554079225,0.11714770696280397
23.5,24.677444257948792,23.537958182576798,8.11,23,False,1.1774442579487925,0.03795818257679784
8.0,7.977782445920775,7.699025655233572,1.2,10,False,0.022217554079224655,0.3009743447664279
16.5,14.454641151598791,16.407113242884563,3.88,18,False,2.045358848401209,0.09288675711543704
6.5,8.461130110523612,6.679556336025084,1.4,20,False,1.9611301105236123,0.17955633602508403
11.5,8.96864515835659,11.050244627341183,1.61,17,False,2.5313548416434095,0.44975537265881727
63.0,36.54362942394844,48.31377965315989,13.02,16,False,26.45637057605156,14.68622034684011
6.0,7.494434781317938,6.078255048056519,1.0,12,False,1.4944347813179384,0.07825504805651917
6.0,7.131924032865811,5.896446917584051,0.85,22,False,1.1319240328658111,0.1035530824159494
8.0,9.186151607427867,7.588736447752021,1.7,10,True,1.1861516074278668,0.41126355224797884
6.5,7.011087116715101,6.598532260556348,0.8,11,False,0.5110871167151014,0.09853226055634767
25.5,23.710748928743115,25.736332067528284,7.71,8,False,1.789251071256885,0.23633206752828428
40.0,30.69512268225411,38.64196752246938,10.6,15,False,9.304877317745891,1.358032477530621
16.0,16.412199193240284,15.362935426746457,4.69,3,False,0.41219919324028353,0.6370645732535429
16.5,9.427825439729286,15.320915042226876,1.8,14,False,7.072174560270714,1.1790849577731244
16.5,17.548066205056948,17.603545466530367,5.16,2,False,1.0480662050569478,1.1035454665303668
11.0,11.095374882609075,11.120618368151462,2.49,15,True,0.09537488260907523,0.12061836815146165
20.0,18.12808340258035,19.75454151681223,5.4,11,False,1.8719165974196486,0.24545848318777175
8.0,8.412795344063328,7.703830740660271,1.38,15,False,0.4127953440633281,0.29616925933972915
27.0,27.674199778486383,26.427215373882646,9.35,23,False,0.6741997784863827,0.5727846261173539
6.0,7.25276094901652,5.722881028437934,0.9,6,False,1.25276094901652,0.2771189715620661
8.0,7.736108613619357,8.118788566131581,1.1,10,False,0.26389138638064313,0.11878856613158106
14.5,13.052932924250563,14.146124389553087,3.3,19,False,1.4470670757494375,0.35387561044691296
10.5,10.39452076893496,10.543162962650099,2.2,11,False,0.10547923106503987,0.04316296265009889
7.0,7.494434781317938,6.950914883931427,1.0,16,True,0.4944347813179384,0.04908511606857324
9.0,8.94447777512645,9.130834433540318,1.6,23,False,0.05552222487355074,0.13083443354031843
